set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
3,5.75,1.964,0.375,-0.278,247.5,0.026952505,0.0019076983,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,262.5,0.03033011,0.0022147046,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,277.5,0.03497262,0.0025054384,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,292.5,0.041154042,0.0031301763,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,307.5,0.048962858,0.0038920576,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,322.5,0.05791131,0.0050672395,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,337.5,0.066424936,0.005948353,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
3,5.75,1.964,0.375,-0.278,352.5,0.071846336,0.007528059,-1.30887499801,-0.31,-0.305325576707237,0.0103730110094021
4,5.75,1.986,0.379,-0.323,7.5,0.064882904,0.009056356,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,22.5,0.0586201,0.0069136545,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,37.5,0.049354926,0.0060711494,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,52.5,0.04031505,0.004325402,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,67.5,0.032971755,0.0034745634,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,82.5,0.027500212,0.0031429993,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,97.5,0.023582168,0.0024787216,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,112.5,0.020832468,0.002187409,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,127.5,0.018938217,0.001782465,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,142.5,0.017678242,0.0017994683,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
4,5.75,1.986,0.379,-0.323,157.5,0.01690832,0.0020004231,-1.35141705877097,-0.31,-0.268387787388529,0.00815002164219514
