,k,QQ,x_b,t,phi_x,F,errF,ReH,ReE,ReHt,dvcs,Acc_ReH,Acc_ReE,Acc_ReHt,Acc_dvcs
726,2.5,1.0,0.3844444444444445,-0.6,165.0,-0.05918768048286438,0.003584380048698,-0.5065447688102722,-0.11643172055482864,-0.21571145951747894,-0.06899853050708771,98.62330352400586,43.28285919450215,92.85553216053026,0.0
727,2.5,1.0,0.3844444444444445,-0.6,180.0,-0.05950599163770676,0.0035902239726617,-0.5065447688102722,-0.11643172055482864,-0.21571145951747894,-0.06899853050708771,98.62330352400586,43.28285919450215,92.85553216053026,0.0
728,2.5,1.0,0.3844444444444445,-0.52,0.0,43.04342269897461,0.1593488048499881,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
729,2.5,1.0,0.3844444444444445,-0.52,15.0,2.9845564365386963,0.0135911785330053,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
730,2.5,1.0,0.3844444444444445,-0.52,30.0,0.651260256767273,0.0052875750267827,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
731,2.5,1.0,0.3844444444444445,-0.52,45.0,0.20955339074134827,0.0039045051194735,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
732,2.5,1.0,0.3844444444444445,-0.52,60.0,0.06637189537286758,0.0035893731331575,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
733,2.5,1.0,0.3844444444444445,-0.52,75.0,0.007428579032421112,0.0035440547342962,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
734,2.5,1.0,0.3844444444444445,-0.52,90.0,-0.020554330199956894,0.0035749694476789,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
735,2.5,1.0,0.3844444444444445,-0.52,105.0,-0.03520651161670685,0.0036237149121598,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
736,2.5,1.0,0.3844444444444445,-0.52,120.0,-0.04341772198677063,0.0036709799685867,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
737,2.5,1.0,0.3844444444444445,-0.52,135.0,-0.04819779843091965,0.0037101185857851,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
738,2.5,1.0,0.3844444444444445,-0.52,150.0,-0.0509655587375164,0.0037387889794847,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
739,2.5,1.0,0.3844444444444445,-0.52,165.0,-0.05241432785987854,0.0037561798228514,-0.4961403012275696,-0.11677047610282898,-0.2093483954668045,-0.06616189330816269,98.25742286108931,44.285520930317986,92.19817188945764,0.0
