,k,QQ,x_b,t,phi_x,F,std_F,ReH,std_ReH,ReE,std_ReE,ReHt,std_ReHt,dvcs,std_dvcs
632,2.5,1.0,0.3555555555555555,-0.36,120.0,0.08654931560158725,0.004378198818243422,-0.46054305136203766,0.02620726865228625,-0.25146844983100886,0.009710128134727854,-0.21623110026121134,0.02467930841650872,0.0242590429261326,0.0047963548244772825
633,2.5,1.0,0.3555555555555555,-0.36,135.0,0.07377772778272626,0.004405515244434653,-0.46054305136203766,0.02620726865228625,-0.25146844983100886,0.009710128134727854,-0.21623110026121134,0.02467930841650872,0.0242590429261326,0.0047963548244772825
634,2.5,1.0,0.3555555555555555,-0.36,150.0,0.0662578977644443,0.004428553765501881,-0.46054305136203766,0.02620726865228625,-0.25146844983100886,0.009710128134727854,-0.21623110026121134,0.02467930841650872,0.0242590429261326,0.0047963548244772825
635,2.5,1.0,0.3555555555555555,-0.36,165.0,0.06228350475430485,0.00444350536001114,-0.46054305136203766,0.02620726865228625,-0.25146844983100886,0.009710128134727854,-0.21623110026121134,0.02467930841650872,0.0242590429261326,0.0047963548244772825
636,2.5,1.0,0.3555555555555555,-0.36,180.0,0.061039390042424146,0.0044486499097074325,-0.46054305136203766,0.02620726865228625,-0.25146844983100886,0.009710128134727854,-0.21623110026121134,0.02467930841650872,0.0242590429261326,0.0047963548244772825
637,2.5,1.0,0.3555555555555555,-0.28,0.0,2.7973227500915527,0.011461582571446567,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
638,2.5,1.0,0.3555555555555555,-0.28,15.0,2.2179452180862427,0.00982240733916119,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
639,2.5,1.0,0.3555555555555555,-0.28,30.0,1.3422351479530334,0.007384549327593744,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
640,2.5,1.0,0.3555555555555555,-0.28,45.0,0.7838930189609528,0.005898325008554087,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
641,2.5,1.0,0.3555555555555555,-0.28,60.0,0.4801263362169266,0.005160565498795103,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
642,2.5,1.0,0.3555555555555555,-0.28,75.0,0.31384058296680445,0.0048164364807036925,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
643,2.5,1.0,0.3555555555555555,-0.28,90.0,0.2191413417458534,0.004665835254262101,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
644,2.5,1.0,0.3555555555555555,-0.28,105.0,0.16301906853914255,0.004608810568226862,-0.44841867685317993,0.023707265112589766,-0.24609480798244474,0.011326101526908258,-0.21094548702239985,0.02227949847243476,0.0232633231207728,0.004983204974816235
