,k,QQ,x_b,t,phi_x,F,ReH,ReE,ReHt,dvcs
1049,2.5,1.0,0.4711111111111111,-1.0,135.0,-0.09442821890115738,-0.5096256732940674,-0.15958380699157715,-0.2866770923137665,-0.09774132817983627
1050,2.5,1.0,0.4711111111111111,-1.0,150.0,-0.09495174884796143,-0.5096256732940674,-0.15958380699157715,-0.2866770923137665,-0.09774132817983627
1051,2.5,1.0,0.4711111111111111,-1.0,165.0,-0.09522764384746552,-0.5096256732940674,-0.15958380699157715,-0.2866770923137665,-0.09774132817983627
1052,2.5,1.0,0.4711111111111111,-1.0,180.0,-0.09531397372484207,-0.5096256732940674,-0.15958380699157715,-0.2866770923137665,-0.09774132817983627
1053,2.5,1.0,0.4711111111111111,-0.92,0.0,1.3909947872161865,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1054,2.5,1.0,0.4711111111111111,-0.92,15.0,0.6084523797035217,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1055,2.5,1.0,0.4711111111111111,-0.92,30.0,0.10948996245861053,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1056,2.5,1.0,0.4711111111111111,-0.92,45.0,-0.024933695793151855,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1057,2.5,1.0,0.4711111111111111,-0.92,60.0,-0.06563465297222137,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1058,2.5,1.0,0.4711111111111111,-0.92,75.0,-0.08079006522893906,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1059,2.5,1.0,0.4711111111111111,-0.92,90.0,-0.08749420940876007,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1060,2.5,1.0,0.4711111111111111,-0.92,105.0,-0.09086821973323822,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1061,2.5,1.0,0.4711111111111111,-0.92,120.0,-0.09272637218236923,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1062,2.5,1.0,0.4711111111111111,-0.92,135.0,-0.0938037633895874,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1063,2.5,1.0,0.4711111111111111,-0.92,150.0,-0.09442919492721558,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1064,2.5,1.0,0.4711111111111111,-0.92,165.0,-0.09475798159837723,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1065,2.5,1.0,0.4711111111111111,-0.92,180.0,-0.0948607549071312,-0.49925774335861206,-0.1574830859899521,-0.2812025547027588,-0.09774261713027954
1066,2.5,1.0,0.4711111111111111,-0.84,0.0,3.0119946002960205,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1067,2.5,1.0,0.4711111111111111,-0.84,15.0,0.9272200465202332,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1068,2.5,1.0,0.4711111111111111,-0.84,30.0,0.16291798651218414,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1069,2.5,1.0,0.4711111111111111,-0.84,45.0,-0.007880650460720062,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1070,2.5,1.0,0.4711111111111111,-0.84,60.0,-0.05825435370206833,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1071,2.5,1.0,0.4711111111111111,-0.84,75.0,-0.07696427404880524,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1072,2.5,1.0,0.4711111111111111,-0.84,90.0,-0.08522730320692062,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1073,2.5,1.0,0.4711111111111111,-0.84,105.0,-0.08937305212020874,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1074,2.5,1.0,0.4711111111111111,-0.84,120.0,-0.0916476622223854,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1075,2.5,1.0,0.4711111111111111,-0.84,135.0,-0.0929618552327156,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1076,2.5,1.0,0.4711111111111111,-0.84,150.0,-0.0937226191163063,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1077,2.5,1.0,0.4711111111111111,-0.84,165.0,-0.09412179887294769,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1078,2.5,1.0,0.4711111111111111,-0.84,180.0,-0.09424645453691483,-0.48885640501976013,-0.1553718000650406,-0.27570801973342896,-0.09773938357830048
1079,2.5,1.0,0.4711111111111111,-0.76,0.0,14.243943214416504,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1080,2.5,1.0,0.4711111111111111,-0.76,15.0,1.4047608375549316,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1081,2.5,1.0,0.4711111111111111,-0.76,30.0,0.22382241487503052,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1082,2.5,1.0,0.4711111111111111,-0.76,45.0,0.012564346194267273,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1083,2.5,1.0,0.4711111111111111,-0.76,60.0,-0.048871349543333054,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1084,2.5,1.0,0.4711111111111111,-0.76,75.0,-0.07191087305545807,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1085,2.5,1.0,0.4711111111111111,-0.76,90.0,-0.08216426521539688,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
1086,2.5,1.0,0.4711111111111111,-0.76,105.0,-0.08732636272907257,-0.4784230887889862,-0.1532503068447113,-0.27019423246383667,-0.09773170202970505
