set,k,QQ,x_b,t,phi_x,F_function,F,sigmaF,ReH,ReE,ReHt,dvcs
55.0,10.992,7.1,0.498,-0.8556,6.4799999999999995,0.0010298257899045188,0.0010298257899045188,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,6.84,0.001026940379242837,0.001026940379242837,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,7.199999999999999,0.001024060961126194,0.001024060961126194,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,7.56,0.0010211875355545894,0.0010211875355545894,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,7.92,0.0010183201025280233,0.0010183201025280233,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,8.28,0.0010154586620464954,0.0010154586620464954,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,8.64,0.0010126032141100064,0.0010126032141100064,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,9.0,0.0010097537587185558,0.0010097537587185558,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,9.36,0.0010069102958721436,0.0010069102958721436,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,9.719999999999999,0.00100407282557077,0.00100407282557077,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,10.08,0.0010012413478144347,0.0010012413478144347,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,10.44,0.0009984158626031381,0.0009984158626031381,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,10.799999999999999,0.00099559636993688,0.00099559636993688,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,11.16,0.0009927828698156602,0.0009927828698156602,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,11.52,0.0009899753622394792,0.0009899753622394792,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,11.879999999999999,0.0009871738472083365,0.0009871738472083365,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,12.24,0.0009843783247222323,0.0009843783247222323,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,12.6,0.0009815887947811667,0.0009815887947811667,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,12.959999999999999,0.0009788052573851396,0.0009788052573851396,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,13.32,0.000976027712534151,0.000976027712534151,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,13.68,0.0009732561602282009,0.0009732561602282009,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,14.04,0.0009704906004672892,0.0009704906004672892,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,14.399999999999999,0.0009677310332514162,0.0009677310332514162,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
55.0,10.992,7.1,0.498,-0.8556,14.76,0.0009649774585805815,0.0009649774585805815,0.0,-1.6019118284620961,1.0945832125761144,0.3126574808044272,0.00019651897309813648
