Set #,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1,5.75,1.82,0.343,-0.172,322.5,0.106078334,0.005303916707634926,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,337.5,0.114968926,0.00574844628572464,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.82,0.343,-0.172,352.5,0.12005317,0.006002658605575562,-0.9924041423103456,-0.31,-0.39627248873223386,0.01776132024921348
1,5.75,1.933,0.368,-0.232,7.5,0.08181363,0.0040906816720962524,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,22.5,0.07715157,0.0038575783371925356,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,37.5,0.06940762,0.0034703809767961504,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,52.5,0.060641028,0.0030320513993501667,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,67.5,0.052384425,0.0026192212477326397,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,82.5,0.045384277,0.0022692138329148295,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,97.5,0.03981827,0.001990913413465023,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,112.5,0.03558247,0.0017791235819458963,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,127.5,0.03248311,0.001624155417084694,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,142.5,0.030331045,0.0015165522694587708,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,157.5,0.028977964,0.0014488982036709786,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
1,5.75,1.933,0.368,-0.232,172.5,0.028325591,0.0014162795618176461,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,187.5,0.028325591,0.0014162795618176461,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,202.5,0.028977964,0.0014488982036709786,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,217.5,0.030331045,0.0015165522694587708,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,232.5,0.0324831,0.0016241550445556642,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,247.5,0.03558246,0.0017791230231523514,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,262.5,0.039818265,0.0019909132272005084,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,277.5,0.045384265,0.0022692132741212847,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,292.5,0.052384425,0.0026192212477326397,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,307.5,0.060641028,0.0030320513993501667,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,322.5,0.06940762,0.0034703809767961504,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,337.5,0.07715157,0.0038575783371925356,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.933,0.368,-0.232,352.5,0.08181363,0.0040906816720962524,-1.2327545994409101,-0.31,-0.3427865803792093,0.012829166550745646
2,5.75,1.964,0.375,-0.278,7.5,0.07184633,0.0035923164337873462,-1.3088749980099972,-0.31,-0.30532557670723737,0.010373011009402106
