set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
1.0,5.75,1.82,0.343,-0.172,322.5,0.13090358185965376,0.005206035409049335,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,337.5,0.14193950672735395,0.005960039994588407,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,352.5,0.14827196355727112,0.006264490451457007,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
2.0,5.75,1.933,0.368,-0.232,7.5,0.10611069342841739,0.006954494931796337,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,22.5,0.09977298569807747,0.0064573073696221,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,37.5,0.08931167103473663,0.00555875847791952,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,52.5,0.07759103101995402,0.0041751734117422175,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,67.5,0.06670692140286316,0.0038943500910612796,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,82.5,0.05763649476974284,0.0036005518419387384,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,97.5,0.050562108269276596,0.003177322873274088,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,112.5,0.04528537421833121,0.002882867069684428,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,127.5,0.041498388930139705,0.0026363925683926016,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,142.5,0.03891349113441982,0.0023418139338585125,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,157.5,0.03730993628283005,0.0021997937757197105,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,172.5,0.03654340270188898,0.0022854244841739083,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,187.5,0.03654340270188898,0.0022273203887991106,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,202.5,0.03730993628283005,0.0021318897653387226,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,217.5,0.03891349113441982,0.0023838404618846004,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,232.5,0.041498388930139705,0.0026596316885538905,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,247.5,0.04528537421833122,0.0028828670696844283,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,262.5,0.050562108269276596,0.0031540643618161593,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,277.5,0.05763649476974284,0.0037083322368730116,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,292.5,0.06670692140286322,0.003941711962077496,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,307.5,0.07759103101995402,0.0043963078358122505,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,322.5,0.08931167103473663,0.005531964855768137,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,337.5,0.09977298569807747,0.006206877545181304,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,352.5,0.10611069342841739,0.006962983456615807,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
3.0,5.75,1.964,0.375,-0.278,7.5,0.09594357866464506,0.008573518065034142,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,22.5,0.08833472313221255,0.007989875379815686,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,37.5,0.07648705187849861,0.0060241200593336396,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,52.5,0.0642094359430339,0.004892117069779529,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,67.5,0.05370255253775359,0.004511014352353792,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,82.5,0.04558245588005021,0.0037879020167957906,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,97.5,0.03964640036544834,0.0029734801455641056,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,112.5,0.03544764527057917,0.002706782269430903,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,127.5,0.032557749793208496,0.002400157337033339,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,142.5,0.03064620654150016,0.002232882685771662,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,157.5,0.02948598120936227,0.0022872275270493024,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,172.5,0.028938452526467855,0.00220279490813535,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,187.5,0.028938452526467855,0.0022192900190534655,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,202.5,0.02948598120936227,0.0022919453199661296,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,217.5,0.03064620654150016,0.0023309503801134117,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,232.5,0.032557749793208496,0.0026137361039524657,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,247.5,0.03544764527057918,0.002508984388284225,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,262.5,0.03964640036544835,0.0028949800074160475,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,277.5,0.04558245588005021,0.00326552712772703,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,292.5,0.05370255253775359,0.0040846159893044185,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,307.5,0.0642094359430339,0.005104007968044597,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,322.5,0.07648705187849861,0.006692616925394039,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,337.5,0.08833472313221255,0.007910374757656774,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,352.5,0.09594357866464506,0.01005296850142015,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
4.0,5.75,1.986,0.379,-0.323,7.5,0.0891212783795812,0.012439547721324086,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,22.5,0.08017612047088078,0.009455971743721907,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,37.5,0.06707948913534022,0.0082514480978372,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,52.5,0.05452427248406308,0.005849909179735592,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,67.5,0.04457221909082978,0.004697020389131457,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,82.5,0.03737808065995488,0.004271940801553868,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,97.5,0.03239961411337934,0.0034055233452935756,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,112.5,0.029027965650260994,0.0030479362981163174,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,127.5,0.026783650374807816,0.002520877261208274,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,142.5,0.025335357401107435,0.002578886117988452,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
