k,QQ,xB,t,phi,ReH,ReE,ReHt,ReEt,ImH,ImE,ImHt,ImEt,F_true,F_true_py,F_true_fix_dvcs
5.75,1.999,0.381,-0.371,97.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.025365,0.025365058,0.025365092
5.75,1.999,0.381,-0.371,112.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0233481,0.023348141,0.023348175
5.75,1.999,0.381,-0.371,127.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0219901,0.021990063,0.021990096
5.75,1.999,0.381,-0.371,142.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0211008,0.021100778,0.021100812
5.75,1.999,0.381,-0.371,157.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0205629,0.020562857,0.02056289
5.75,1.999,0.381,-0.371,172.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0203091,0.020309133,0.020309167
5.75,1.999,0.381,-0.371,187.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0203091,0.020309133,0.020309167
5.75,1.999,0.381,-0.371,202.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0205629,0.020562857,0.02056289
5.75,1.999,0.381,-0.371,217.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0211008,0.021100778,0.021100812
5.75,1.999,0.381,-0.371,232.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0219901,0.021990063,0.021990096
5.75,1.999,0.381,-0.371,247.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0233481,0.02334814,0.023348173
5.75,1.999,0.381,-0.371,262.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.025365,0.02536505,0.025365084
5.75,1.999,0.381,-0.371,277.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.028333,0.028332995,0.028333029
5.75,1.999,0.381,-0.371,292.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0326656,0.032665618,0.032665648
5.75,1.999,0.381,-0.371,307.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0388349,0.038834922,0.03883495
5.75,1.999,0.381,-0.371,322.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0470173,0.04701736,0.04701739
5.75,1.999,0.381,-0.371,337.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0561301,0.056130186,0.05613022
5.75,1.999,0.381,-0.371,352.5,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.062743,0.06274304,0.06274307
5.75,2.218,0.345,-0.176,7.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.106097,0.1060973,0.106097266
5.75,2.218,0.345,-0.176,22.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.10192,0.101920195,0.10192016
5.75,2.218,0.345,-0.176,37.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0945894,0.094589375,0.09458934
5.75,2.218,0.345,-0.176,52.5,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.0856224,0.08562247,0.08562243
