set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHtilde,dvcs
1,16,5.75,1.82,0.343,-0.172,247.5,0.0624109,0.00294455,0.04718,-2.56464,2.21195,1.39564,0.0315875
1,17,5.75,1.82,0.343,-0.172,262.5,0.0717532,0.00327482,0.04564,-2.56464,2.21195,1.39564,0.0315875
1,18,5.75,1.82,0.343,-0.172,277.5,0.0695542,0.00303743,0.04367,-2.56464,2.21195,1.39564,0.0315875
1,19,5.75,1.82,0.343,-0.172,292.5,0.0834381,0.00354945,0.04254,-2.56464,2.21195,1.39564,0.0315875
1,20,5.75,1.82,0.343,-0.172,307.5,0.094451,0.00375065,0.03971,-2.56464,2.21195,1.39564,0.0315875
1,21,5.75,1.82,0.343,-0.172,322.5,0.101951,0.00405458,0.03977,-2.56464,2.21195,1.39564,0.0315875
1,22,5.75,1.82,0.343,-0.172,337.5,0.114951,0.00482678,0.04199,-2.56464,2.21195,1.39564,0.0315875
1,23,5.75,1.82,0.343,-0.172,352.5,0.112797,0.00476567,0.04225,-2.56464,2.21195,1.39564,0.0315875
2,0,5.75,1.933,0.368,-0.232,7.5,0.0798726,0.00523485,0.06554,-2.48378,2.05692,1.17942,0.0227145
2,1,5.75,1.933,0.368,-0.232,22.5,0.0752171,0.00486805,0.06472,-2.48378,2.05692,1.17942,0.0227145
2,2,5.75,1.933,0.368,-0.232,37.5,0.0605232,0.00376697,0.06224,-2.48378,2.05692,1.17942,0.0227145
2,3,5.75,1.933,0.368,-0.232,52.5,0.0679057,0.003654,0.05381,-2.48378,2.05692,1.17942,0.0227145
2,4,5.75,1.933,0.368,-0.232,67.5,0.0522419,0.00304988,0.05838,-2.48378,2.05692,1.17942,0.0227145
2,5,5.75,1.933,0.368,-0.232,82.5,0.0483993,0.00302351,0.06247,-2.48378,2.05692,1.17942,0.0227145
2,6,5.75,1.933,0.368,-0.232,97.5,0.0429759,0.0027006,0.06284,-2.48378,2.05692,1.17942,0.0227145
2,7,5.75,1.933,0.368,-0.232,112.5,0.0403152,0.00256647,0.06366,-2.48378,2.05692,1.17942,0.0227145
2,8,5.75,1.933,0.368,-0.232,127.5,0.0360796,0.00229213,0.06353,-2.48378,2.05692,1.17942,0.0227145
2,9,5.75,1.933,0.368,-0.232,142.5,0.0366866,0.0022078,0.06018,-2.48378,2.05692,1.17942,0.0227145
2,10,5.75,1.933,0.368,-0.232,157.5,0.0364531,0.00214927,0.05896,-2.48378,2.05692,1.17942,0.0227145
2,11,5.75,1.933,0.368,-0.232,172.5,0.032309,0.00202061,0.06254,-2.48378,2.05692,1.17942,0.0227145
2,12,5.75,1.933,0.368,-0.232,187.5,0.0316282,0.00192774,0.06095,-2.48378,2.05692,1.17942,0.0227145
2,13,5.75,1.933,0.368,-0.232,202.5,0.0343028,0.00196006,0.05714,-2.48378,2.05692,1.17942,0.0227145
2,14,5.75,1.933,0.368,-0.232,217.5,0.032196,0.00197233,0.06126,-2.48378,2.05692,1.17942,0.0227145
2,15,5.75,1.933,0.368,-0.232,232.5,0.0412522,0.00264386,0.06409,-2.48378,2.05692,1.17942,0.0227145
2,16,5.75,1.933,0.368,-0.232,247.5,0.0377877,0.00240557,0.06366,-2.48378,2.05692,1.17942,0.0227145
2,17,5.75,1.933,0.368,-0.232,262.5,0.0413854,0.00258162,0.06238,-2.48378,2.05692,1.17942,0.0227145
2,18,5.75,1.933,0.368,-0.232,277.5,0.050904,0.00327516,0.06434,-2.48378,2.05692,1.17942,0.0227145
2,19,5.75,1.933,0.368,-0.232,292.5,0.0580061,0.00342758,0.05909,-2.48378,2.05692,1.17942,0.0227145
2,20,5.75,1.933,0.368,-0.232,307.5,0.0652462,0.00369685,0.05666,-2.48378,2.05692,1.17942,0.0227145
2,21,5.75,1.933,0.368,-0.232,322.5,0.0764457,0.00473505,0.06194,-2.48378,2.05692,1.17942,0.0227145
2,22,5.75,1.933,0.368,-0.232,337.5,0.0794835,0.00494467,0.06221,-2.48378,2.05692,1.17942,0.0227145
2,23,5.75,1.933,0.368,-0.232,352.5,0.0790978,0.0051904,0.06562,-2.48378,2.05692,1.17942,0.0227145
3,0,5.75,1.964,0.375,-0.278,7.5,0.0650832,0.00581584,0.08936,-2.44312,1.94885,1.04808,0.0196876
