,k,QQ,x_b,t,phi_x,F,ReH,ReE,ReHt,dvcs
24,2.5,1.0,0.24,-0.92,165.0,0.06387291103601456,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
25,2.5,1.0,0.24,-0.92,180.0,0.06362621486186981,-0.5621892213821411,-0.2859847843647003,-0.2841085195541382,0.05101509764790535
26,2.5,1.0,0.24,-0.84,0.0,0.1699923425912857,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
27,2.5,1.0,0.24,-0.84,15.0,0.162807434797287,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
28,2.5,1.0,0.24,-0.84,30.0,0.14521048963069916,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
29,2.5,1.0,0.24,-0.84,45.0,0.12486976385116577,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
30,2.5,1.0,0.24,-0.84,60.0,0.10709111392498016,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
31,2.5,1.0,0.24,-0.84,75.0,0.09355130791664124,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
32,2.5,1.0,0.24,-0.84,90.0,0.08390873670578003,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
33,2.5,1.0,0.24,-0.84,105.0,0.07725217193365097,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
34,2.5,1.0,0.24,-0.84,120.0,0.07273589074611664,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
35,2.5,1.0,0.24,-0.84,135.0,0.06973699480295181,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
36,2.5,1.0,0.24,-0.84,150.0,0.06784132868051529,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
37,2.5,1.0,0.24,-0.84,165.0,0.06679430603981018,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
38,2.5,1.0,0.24,-0.84,180.0,0.06645955890417099,-0.5485333204269409,-0.2795766294002533,-0.2772423028945923,0.04990524426102638
39,2.5,1.0,0.24,-0.76,0.0,0.22299082577228546,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
40,2.5,1.0,0.24,-0.76,15.0,0.2119997888803482,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
41,2.5,1.0,0.24,-0.76,30.0,0.18536856770515442,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
42,2.5,1.0,0.24,-0.76,45.0,0.15508410334587097,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
43,2.5,1.0,0.24,-0.76,60.0,0.12904545664787292,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
44,2.5,1.0,0.24,-0.76,75.0,0.10948587954044342,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
45,2.5,1.0,0.24,-0.76,90.0,0.09570430219173431,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
46,2.5,1.0,0.24,-0.76,105.0,0.08626772463321686,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
47,2.5,1.0,0.24,-0.76,120.0,0.07990504801273346,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
48,2.5,1.0,0.24,-0.76,135.0,0.07569998502731323,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
49,2.5,1.0,0.24,-0.76,150.0,0.07305094599723816,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
50,2.5,1.0,0.24,-0.76,165.0,0.0715911015868187,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
51,2.5,1.0,0.24,-0.76,180.0,0.07112488895654678,-0.5348353385925293,-0.27314895391464233,-0.27035605907440186,0.04879361391067505
52,2.5,1.0,0.24,-0.6799999999999999,0.0,0.3116523325443268,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
53,2.5,1.0,0.24,-0.6799999999999999,15.0,0.29375940561294556,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
54,2.5,1.0,0.24,-0.6799999999999999,30.0,0.2511187791824341,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
55,2.5,1.0,0.24,-0.6799999999999999,45.0,0.2038084715604782,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
56,2.5,1.0,0.24,-0.6799999999999999,60.0,0.1640872359275818,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
57,2.5,1.0,0.24,-0.6799999999999999,75.0,0.13480731844902039,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
58,2.5,1.0,0.24,-0.6799999999999999,90.0,0.1144581288099289,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
59,2.5,1.0,0.24,-0.6799999999999999,105.0,0.10065976530313492,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
60,2.5,1.0,0.24,-0.6799999999999999,120.0,0.0914204865694046,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
61,2.5,1.0,0.24,-0.6799999999999999,135.0,0.08534438908100128,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
62,2.5,1.0,0.24,-0.6799999999999999,150.0,0.08152984082698822,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
63,2.5,1.0,0.24,-0.6799999999999999,165.0,0.07943230867385864,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
64,2.5,1.0,0.24,-0.6799999999999999,180.0,0.07876315712928772,-0.5210973024368286,-0.2667023837566376,-0.2634504735469818,0.047680433839559555
65,2.5,1.0,0.24,-0.6,0.0,0.4693866968154907,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
66,2.5,1.0,0.24,-0.6,15.0,0.4378070831298828,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
67,2.5,1.0,0.24,-0.6,30.0,0.3644217848777771,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
68,2.5,1.0,0.24,-0.6,45.0,0.28591635823249817,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
69,2.5,1.0,0.24,-0.6,60.0,0.2222035527229309,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
70,2.5,1.0,0.24,-0.6,75.0,0.17643386125564575,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
71,2.5,1.0,0.24,-0.6,90.0,0.14518678188323975,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
72,2.5,1.0,0.24,-0.6,105.0,0.12425044178962708,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
73,2.5,1.0,0.24,-0.6,120.0,0.11034330725669861,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
74,2.5,1.0,0.24,-0.6,135.0,0.10124653577804565,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
75,2.5,1.0,0.24,-0.6,150.0,0.09555595368146896,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
76,2.5,1.0,0.24,-0.6,165.0,0.09243367612361908,-0.5073204636573792,-0.26023781299591064,-0.2565264105796814,0.046565745025873184
