set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
2,5.75,1.933,0.368,-0.232,127.5,0.0360796,0.00216,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,142.5,0.0366866,0.00204,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,157.5,0.0364531,0.00204,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,172.5,0.032309,0.00192,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,187.5,0.0316282,0.00192,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,202.5,0.0343028,0.00204,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,217.5,0.032196,0.00204,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,232.5,0.0412522,0.00216,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,247.5,0.0377877,0.0024,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,262.5,0.0413854,0.00252,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,277.5,0.050904,0.00276,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,292.5,0.0580061,0.00312,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,307.5,0.0652462,0.00336,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,322.5,0.0764457,0.00384,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,337.5,0.0794835,0.00456,-2.48378,2.05692,1.17942,0.0227145
2,5.75,1.933,0.368,-0.232,352.5,0.0790978,0.00504,-2.48378,2.05692,1.17942,0.0227145
3,5.75,1.964,0.375,-0.278,7.5,0.0650832,0.00672,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,22.5,0.0616327,0.0054,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,37.5,0.0505881,0.00456,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,52.5,0.050622,0.00384,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,67.5,0.0471315,0.00336,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,82.5,0.0404187,0.003,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,97.5,0.0300196,0.00264,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,112.5,0.0282131,0.00252,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,127.5,0.0327899,0.00216,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,142.5,0.0309781,0.00204,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,157.5,0.028824,0.00204,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,172.5,0.0274468,0.00204,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,187.5,0.0262358,0.00204,-2.44312,1.94885,1.04808,0.0196876
3,5.75,1.964,0.375,-0.278,202.5,0.027929,0.00192,-2.44312,1.94885,1.04808,0.0196876
